date,open,high,low,close,volume
1549388640.0,3458.51,3460.2,3458.09,3459.61,21.637917
1549388700.0,3458.6,3460.2,3457.22,3459.66,23.141219
1549388760.0,3460.19,3460.19,3458.55,3460.18,6.853835000000001
1549388820.0,3460.18,3460.2,3459.21,3459.88,10.103085
1549388880.0,3459.99,3460.61,3457.4,3459.15,38.478169
1549388940.0,3458.76,3459.15,3457.94,3458.49,8.670724
1549389000.0,3458.49,3459.0,3457.22,3457.71,9.949005999999999
1549389060.0,3457.86,3459.21,3456.73,3456.74,15.529154
1549389120.0,3456.74,3457.44,3455.82,3456.42,17.684428
1549389180.0,3455.82,3457.21,3455.38,3455.68,13.06035
1549389240.0,3456.65,3456.65,3455.63,3456.44,12.143421
1549389300.0,3456.18,3457.57,3456.04,3457.11,13.718288000000001
1549389360.0,3457.57,3457.57,3456.65,3457.06,7.935156
1549389420.0,3457.57,3458.2,3456.06,3456.99,19.802743
1549389480.0,3457.64,3457.64,3456.38,3457.19,14.394252999999999
1549389540.0,3457.11,3457.51,3456.48,3456.67,8.904106
1549389600.0,3456.82,3459.2,3456.69,3457.41,33.269662
1549389660.0,3458.02,3459.21,3457.77,3459.13,11.799163
1549389720.0,3459.12,3461.75,3459.12,3460.84,67.844096
1549389780.0,3460.83,3462.2,3459.64,3461.82,6.754392999999999
1549389840.0,3461.76,3462.15,3460.43,3460.98,12.061589999999999
1549389900.0,3461.91,3462.0,3460.97,3462.0,6.8222070000000015
1549389960.0,3462.0,3462.0,3461.38,3461.97,9.361369
1549390020.0,3461.9,3462.82,3461.81,3462.02,14.036937
1549390080.0,3462.31,3463.0,3462.16,3462.98,3.5533309999999996
1549390140.0,3462.97,3462.99,3461.11,3461.13,13.68545
1549390200.0,3461.87,3462.99,3461.01,3461.67,32.979409999999994
1549390260.0,3461.63,3462.99,3461.05,3462.97,16.412257
1549390320.0,3462.98,3464.77,3462.06,3464.77,4.9966
1549390380.0,3464.77,3464.99,3463.72,3464.0,10.635557
1549390440.0,3464.53,3464.79,3463.83,3464.63,15.728297
1549390500.0,3464.71,3465.0,3463.91,3464.68,10.443785
1549390560.0,3464.25,3466.08,3462.23,3462.87,35.541104
1549390620.0,3462.98,3462.98,3460.11,3461.22,67.187353
1549390680.0,3460.75,3462.32,3460.51,3461.94,13.610295
1549390740.0,3461.93,3461.95,3459.21,3461.16,41.16682700000001
1549390800.0,3460.21,3462.96,3459.71,3461.74,11.825216000000001
1549390860.0,3461.72,3461.74,3460.69,3461.4,10.930986
1549390920.0,3460.69,3461.73,3459.69,3461.5,17.456137
1549390980.0,3461.33,3461.73,3460.61,3461.68,9.171076
1549391040.0,3460.64,3461.73,3460.33,3461.15,13.428560999999998
1549391100.0,3461.15,3462.98,3460.46,3462.03,15.769001000000001
1549391160.0,3462.89,3465.0,3462.05,3463.62,15.005493
1549391220.0,3464.71,3465.96,3463.22,3465.9,12.974058
1549391280.0,3465.12,3468.16,3463.22,3464.73,32.473809
1549391340.0,3464.73,3465.0,3461.87,3462.21,19.343081
1549391400.0,3462.21,3463.33,3461.87,3463.18,35.32727
1549391460.0,3463.18,3464.27,3461.51,3462.51,16.275953
1549391520.0,3462.61,3463.84,3460.91,3462.33,10.463254
1549391580.0,3461.85,3463.0,3460.8,3462.94,8.097386
1549391640.0,3462.92,3464.0,3461.93,3463.46,7.076144
1549391700.0,3463.01,3463.41,3461.97,3463.04,17.218965
1549391760.0,3463.06,3465.53,3463.04,3464.53,17.489304999999998
1549391820.0,3464.71,3464.97,3462.63,3462.63,10.912676
1549391880.0,3462.66,3462.66,3460.63,3461.22,15.132581
1549391940.0,3460.65,3461.22,3459.58,3460.17,19.829701
1549392000.0,3460.5,3460.8,3460.0,3460.78,9.928275
1549392060.0,3460.8,3461.18,3459.78,3460.66,15.039229
1549392120.0,3461.16,3461.18,3459.02,3459.11,14.22085
1549392180.0,3459.81,3460.2,3458.62,3458.65,10.738094
1549392240.0,3458.65,3459.06,3456.95,3457.96,39.572012
1549392300.0,3457.96,3458.0,3457.0,3457.98,11.288285
1549392360.0,3457.99,3458.51,3457.97,3458.0,25.13311400000001
1549392420.0,3457.99,3458.99,3457.03,3457.06,25.738243
1549392480.0,3457.08,3458.0,3457.08,3458.0,11.312892999999999
1549392540.0,3458.0,3458.93,3457.18,3457.71,21.99084
1549392600.0,3457.98,3458.0,3456.69,3458.0,12.297541
1549392660.0,3457.69,3458.0,3456.72,3457.92,15.303798
1549392720.0,3457.74,3458.0,3457.03,3458.0,10.122641999999999
1549392780.0,3458.0,3458.0,3457.71,3457.99,5.936517
1549392840.0,3457.97,3458.0,3456.79,3457.0,23.47965
1549392900.0,3457.0,3457.98,3456.99,3457.07,8.850224
1549392960.0,3457.22,3457.22,3456.35,3456.8,7.796403999999999
1549393020.0,3457.0,3457.0,3456.23,3457.0,11.945732000000001
1549393080.0,3457.0,3457.0,3455.82,3456.0,32.15456
1549393140.0,3456.0,3456.0,3455.67,3456.0,19.634793
1549393200.0,3455.95,3456.0,3455.53,3455.87,4.447009
1549393260.0,3455.99,3456.0,3455.28,3455.98,21.470907
1549393320.0,3455.8,3456.0,3455.16,3456.0,12.196050999999999
1549393380.0,3455.99,3456.0,3455.0,3455.0,24.147023
1549393440.0,3455.0,3455.0,3454.36,3455.0,11.065882
1549393500.0,3455.0,3455.0,3454.34,3455.0,16.55784
1549393560.0,3454.99,3455.0,3454.32,3455.0,2.816106
1549393620.0,3454.85,3455.0,3452.0,3452.94,76.02218
1549393680.0,3452.94,3453.0,3452.0,3453.0,28.490971999999996
1549393740.0,3453.0,3453.66,3452.53,3453.0,20.974017
1549393800.0,3453.0,3453.0,3451.84,3452.45,12.040798
1549393860.0,3452.97,3453.0,3451.1,3452.5,27.600167
1549393920.0,3452.52,3452.74,3451.36,3451.73,14.602435999999999
1549393980.0,3451.53,3452.49,3451.1,3451.83,28.276
1549394040.0,3452.2,3452.44,3451.76,3452.42,11.86448
1549394100.0,3452.42,3453.41,3449.49,3453.41,54.072275
1549394160.0,3454.68,3458.99,3454.68,3457.5,36.946267
1549394220.0,3457.48,3459.77,3456.39,3458.86,31.960763
1549394280.0,3458.8,3461.09,3457.32,3458.9,30.272075
1549394340.0,3458.93,3461.12,3458.93,3460.88,16.986022
1549394400.0,3460.87,3460.87,3458.19,3460.5,20.614597
1549394460.0,3460.47,3460.8,3458.96,3460.49,15.83968
1549394520.0,3460.02,3461.13,3458.96,3461.13,13.470631
1549394580.0,3461.13,3462.68,3459.36,3462.68,58.359505
