date,open,high,low,close,volume
1550436480.0,9.1197,9.12,9.1197,9.12,349.24
1550436540.0,9.1197,9.12,9.1197,9.12,36.37
1550436600.0,9.1198,9.1198,9.1198,9.1198,443.31
1550436660.0,9.1139,9.116,9.1139,9.116,899.81
1550436720.0,9.1158,9.1158,9.1158,9.1158,199.44
1550436780.0,9.1195,9.1195,9.1195,9.1195,10.96
1550436840.0,9.1178,9.1178,9.1158,9.1158,749.88
1550436900.0,9.1173,9.1173,9.1159,9.1159,289.59
1550436960.0,9.12,9.12,9.1161,9.12,130.22
1550437020.0,9.1199,9.1199,9.1182,9.1195,721.86
1550437080.0,9.1195,9.1195,9.1178,9.1178,589.59
1550437140.0,9.1194,9.1194,9.1194,9.1194,191.0
1550437200.0,9.1187,9.1187,9.1187,9.1187,0.0
1550437260.0,9.12,9.12,9.12,9.12,3.86
1550437320.0,9.1233,9.1235,9.1213,9.1213,1350.8
1550437380.0,9.1249,9.1249,9.1248,9.1248,472.58
1550437440.0,9.1249,9.1249,9.1218,9.1218,945.11
1550437500.0,9.1188,9.1188,9.1188,9.1188,0.0
1550437560.0,9.1047,9.113,9.0839,9.0936,5569.76
1550437620.0,9.0819,9.086,9.0666,9.0753,1085.33
1550437680.0,9.1019,9.1019,9.0944,9.0946,424.28
1550437740.0,9.0809,9.0812,9.0731,9.0807,369.13
1550437800.0,9.0747,9.0822,9.0744,9.0822,1021.18
1550437860.0,9.0875,9.0875,9.0825,9.0825,801.74
1550437920.0,9.0714,9.0825,9.0714,9.0824,1420.44
1550437980.0,9.0851,9.0851,9.0851,9.0851,0.0
1550438040.0,9.0725,9.0725,9.0724,9.0724,40.68
1550438100.0,9.0876,9.0894,9.0876,9.0894,1.44
1550438160.0,9.0821,9.0839,9.0821,9.0839,265.55
1550438220.0,9.0894,9.0894,9.0894,9.0894,8.04
1550438280.0,9.0948,9.0999,9.0948,9.0999,959.71
1550438340.0,9.0992,9.1007,9.0962,9.1005,860.93
1550438400.0,9.0844,9.0844,9.0783,9.0783,1107.18
1550438460.0,9.09,9.0971,9.09,9.0971,548.66
1550438520.0,9.09,9.09,9.09,9.09,0.0
1550438580.0,9.1004,9.1004,9.0969,9.0969,532.7
1550438640.0,9.0802,9.0802,9.0802,9.0802,0.0
1550438700.0,9.0906,9.0906,9.0906,9.0906,0.0
1550438760.0,9.0888,9.0888,9.0888,9.0888,0.0
1550438820.0,9.0908,9.0908,9.0908,9.0908,2.01
1550438880.0,9.0837,9.0837,9.0801,9.0801,14.47
1550438940.0,9.0828,9.0866,9.08,9.0811,1367.06
1550439000.0,9.0866,9.0866,9.0866,9.0866,23.04
1550439060.0,9.0961,9.0961,9.0961,9.0961,146.4
1550439120.0,9.1023,9.1023,9.0961,9.0961,421.16
1550439180.0,9.1027,9.1027,9.1027,9.1027,0.4
1550439240.0,9.1033,9.1033,9.1033,9.1033,0.0
1550439300.0,9.1102,9.1159,9.1101,9.1159,607.82
1550439360.0,9.1206,9.1213,9.1143,9.1143,131.81
1550439420.0,9.135,9.137,9.133,9.1351,906.87
1550439480.0,9.1273,9.1279,9.1273,9.1279,125.06
1550439540.0,9.1346,9.1348,9.1346,9.1348,229.37
1550439600.0,9.14,9.14,9.14,9.14,304.36
1550439660.0,9.1399,9.1399,9.1373,9.1373,330.2
1550439720.0,9.14,9.144,9.1395,9.1395,2372.25
1550439780.0,9.1453,9.15,9.1419,9.1427,595.54
1550439840.0,9.1446,9.1514,9.1446,9.15,108.59
1550439900.0,9.1386,9.1443,9.1339,9.1443,80.67
1550439960.0,9.1406,9.1407,9.1406,9.1407,557.34
1550440020.0,9.1338,9.1355,9.1319,9.1319,1628.66
1550440080.0,9.1331,9.1331,9.1331,9.1331,0.0
1550440140.0,9.1399,9.1399,9.1399,9.1399,0.0
1550440200.0,9.1363,9.1475,9.1363,9.147,1390.14
1550440260.0,9.1474,9.1503,9.1474,9.1475,136.02
1550440320.0,9.1559,9.163,9.1559,9.1623,1497.1
1550440380.0,9.1728,9.1738,9.1697,9.1697,503.35
1550440440.0,9.1632,9.1701,9.1586,9.1587,1058.21
1550440500.0,9.1695,9.1695,9.1694,9.1694,19.65
1550440560.0,9.1683,9.1706,9.1683,9.1704,136.82
1550440620.0,9.1766,9.1766,9.1766,9.1766,11.01
1550440680.0,9.1683,9.1688,9.1683,9.1688,347.59
1550440740.0,9.1641,9.1718,9.1641,9.1714,537.72
1550440800.0,9.1646,9.1646,9.1646,9.1646,4.0
1550440860.0,9.1792,9.1799,9.179,9.1799,661.13
1550440920.0,9.1836,9.1842,9.1757,9.1757,867.87
1550440980.0,9.1823,9.1826,9.1791,9.1791,832.39
1550441040.0,9.1776,9.1798,9.1776,9.1798,1472.51
1550441100.0,9.169,9.169,9.169,9.169,0.0
1550441160.0,9.178,9.178,9.178,9.178,4.57
1550441220.0,9.1915,9.1933,9.19,9.1933,1565.0
1550441280.0,9.1972,9.1999,9.1972,9.1999,333.72
1550441340.0,9.2029,9.2193,9.2029,9.2127,968.79
1550441400.0,9.21,9.21,9.21,9.21,28.33
1550441460.0,9.2032,9.2034,9.2029,9.2034,189.58
1550441520.0,9.2016,9.2026,9.2016,9.2026,1555.19
1550441580.0,9.2126,9.2148,9.2126,9.2148,364.45
1550441640.0,9.209,9.209,9.205,9.205,2093.88
1550441700.0,9.2067,9.2067,9.203,9.203,22.12
1550441760.0,9.2023,9.2027,9.1959,9.2027,223.75
