,close,ma_5,ma_6,ma_10,ma_20,rsi_6,rsi_12,stochastic_5,9_kstochastic,9_dstochastic,macd_hist,williams_12,%b_bands,midlle_bands
16.11.2018 08:37:00,0.022162,0.021813200000000005,0.021895833333333337,0.0221276,0.0220926,58.83765916698962,58.83765916698962,15.05709667406661,26.134908706301506,17.266265865063463,-0.000591923497494774,-59.916666666666615,0.43226679275811686,0.02229819999999999
16.11.2018 08:38:00,0.021806,0.021754200000000005,0.021812,0.0220403,0.02209225,56.11959900798824,56.11959900798824,15.491815283264849,33.47737140948564,23.971685964521658,-0.0005698758909139139,-74.75000000000004,0.2684611670685663,0.022282199999999988
16.11.2018 08:39:00,0.022,0.021807400000000005,0.021795166666666668,0.022000299999999997,0.022157650000000004,57.277825368148974,57.277825368148974,11.413921253078207,39.545758183032696,33.052679432939975,-0.000535620100573426,-62.686567164179166,0.37526925204992984,0.022258666666666656
16.11.2018 08:40:00,0.021813,0.021890000000000003,0.021808333333333332,0.021993899999999997,0.022199150000000008,55.7502787933716,55.7502787933716,-7.525236121771208,33.717434869739414,35.58018815408594,-0.0005124056581959086,-69.28857715430868,0.3113489636376687,0.022206199999999992
16.11.2018 08:41:00,0.021674,0.021891000000000004,0.021854,0.0218668,0.022164450000000006,54.5849755981348,54.5849755981348,-15.305064859931196,35.03817918240529,36.10045741172582,-0.0004942647066857658,-76.25250501002012,0.27385710566859967,0.022117999999999992
16.11.2018 08:42:00,0.02122,0.021702600000000002,0.021779166666666665,0.021757899999999997,0.022149300000000004,50.846627146710965,50.846627146710965,-17.687897079975613,22.16086771660621,30.305493922916995,-0.0004946661871118967,-98.99799599198401,0.07080977691704267,0.021985933333333325
16.11.2018 08:43:00,0.020981,0.0215376,0.021582333333333332,0.021645899999999996,0.022096050000000006,48.94619517498096,48.94619517498096,-9.8367957248376,15.17621783779238,24.12508824560132,-0.0004959917351956417,-92.75544388609718,0.026358456345278492,0.021872733333333328
16.11.2018 08:44:00,0.021175,0.021372600000000002,0.02147716666666667,0.021589999999999995,0.022037150000000005,50.561462131524515,50.561462131524515,7.190483282211403,13.338608571590767,16.89189804199648,-0.0004761141424883819,-71.18987341772154,0.17800574043452283,0.02179106666666666
16.11.2018 08:45:00,0.020736,0.021157200000000004,0.021266500000000004,0.021523599999999997,0.021943950000000004,46.94214530294666,46.94214530294666,6.677826846849106,15.049959424180356,14.521595277854528,-0.00047306262543129465,-93.41772151898726,0.05068950994895395,0.021714999999999995
16.11.2018 08:46:00,0.0196,0.020742400000000005,0.020897666666666672,0.021316699999999997,0.021774100000000005,39.13532149061108,39.13532149061108,-1.932463665442146,11.797468354430412,13.395345450067206,-0.0005141227040041285,-100.0,-0.20957560930947539,0.021491999999999997
