date,open,high,low,close,volume
1539698400,3.25e-06,3.25e-06,3.21e-06,3.22e-06,1481992.0
1539702000,3.22e-06,3.23e-06,3.17e-06,3.22e-06,1690977.0
1539705600,3.21e-06,3.24e-06,3.19e-06,3.22e-06,1695863.0
1539709200,3.21e-06,3.21e-06,3.16e-06,3.18e-06,3366361.0
1539712800,3.18e-06,3.19e-06,3.14e-06,3.16e-06,1955002.0
1539716400,3.16e-06,3.19e-06,3.14e-06,3.18e-06,7226302.0
1539720000,3.18e-06,3.19e-06,3.12e-06,3.14e-06,3646070.0
1539723600,3.13e-06,3.15e-06,3.12e-06,3.14e-06,1996893.0
1539727200,3.13e-06,3.19e-06,3.12e-06,3.17e-06,1477328.0
1539730800,3.17e-06,3.18e-06,3.13e-06,3.16e-06,4762422.0
1539734400,3.16e-06,3.18e-06,3.13e-06,3.15e-06,1960471.0
1539738000,3.14e-06,3.16e-06,3.13e-06,3.15e-06,1088934.0
1539741600,3.15e-06,3.16e-06,3.1e-06,3.12e-06,2224482.0
1539745200,3.1e-06,3.13e-06,3.1e-06,3.13e-06,859520.0
1539748800,3.12e-06,3.14e-06,3.11e-06,3.13e-06,707681.0
1539752400,3.13e-06,3.18e-06,3.12e-06,3.18e-06,1673284.0
1539756000,3.18e-06,3.18e-06,3.13e-06,3.16e-06,1496569.0
1539759600,3.16e-06,3.17e-06,3.13e-06,3.15e-06,1486765.0
1539763200,3.16e-06,3.17e-06,3.12e-06,3.13e-06,915036.0
1539766800,3.14e-06,3.15e-06,3.13e-06,3.13e-06,938286.0
1539770400,3.14e-06,3.16e-06,3.12e-06,3.14e-06,6183538.0
1539774000,3.13e-06,3.16e-06,3.12e-06,3.15e-06,5873974.0
1539777600,3.14e-06,3.16e-06,3.1e-06,3.14e-06,2848737.0
1539781200,3.13e-06,3.16e-06,3.12e-06,3.15e-06,974505.0
1539784800,3.15e-06,3.17e-06,3.14e-06,3.14e-06,1054304.0
1539788400,3.15e-06,3.16e-06,3.11e-06,3.12e-06,1860747.0
1539792000,3.12e-06,3.15e-06,3.11e-06,3.15e-06,4448401.0
1539795600,3.15e-06,3.16e-06,3.12e-06,3.15e-06,2488830.0
1539799200,3.15e-06,3.16e-06,3.13e-06,3.14e-06,8479846.0
1539802800,3.14e-06,3.18e-06,3.14e-06,3.16e-06,4486135.0
1539806400,3.17e-06,3.21e-06,3.14e-06,3.2e-06,2285890.0
1539810000,3.2e-06,3.22e-06,3.18e-06,3.19e-06,2318777.0
1539813600,3.18e-06,3.21e-06,3.16e-06,3.18e-06,1889577.0
1539817200,3.18e-06,3.2e-06,3.15e-06,3.18e-06,1963268.0
1539820800,3.18e-06,3.19e-06,3.15e-06,3.17e-06,3009436.0
1539824400,3.17e-06,3.19e-06,3.16e-06,3.17e-06,1345149.0
1539828000,3.17e-06,3.19e-06,3.15e-06,3.17e-06,1048039.0
1539831600,3.17e-06,3.17e-06,3.13e-06,3.14e-06,696261.0
1539835200,3.14e-06,3.17e-06,3.13e-06,3.16e-06,1718131.0
1539838800,3.16e-06,3.19e-06,3.13e-06,3.15e-06,8158064.0
1539842400,3.16e-06,3.18e-06,3.14e-06,3.17e-06,3175545.0
1539846000,3.17e-06,3.21e-06,3.15e-06,3.16e-06,2459133.0
1539849600,3.16e-06,3.17e-06,3.13e-06,3.14e-06,5126501.0
1539853200,3.15e-06,3.16e-06,3.11e-06,3.14e-06,10576476.0
1539856800,3.14e-06,3.18e-06,3.12e-06,3.17e-06,5759948.0
1539860400,3.16e-06,3.18e-06,3.15e-06,3.17e-06,1897092.0
1539864000,3.16e-06,3.17e-06,3.13e-06,3.15e-06,5071788.0
1539867600,3.15e-06,3.15e-06,3.13e-06,3.15e-06,1930764.0
1539871200,3.14e-06,3.16e-06,3.13e-06,3.14e-06,1583871.0
1539874800,3.14e-06,3.15e-06,3.13e-06,3.13e-06,1448862.0
1539878400,3.14e-06,3.14e-06,3.05e-06,3.08e-06,4767862.0
1539882000,3.08e-06,3.1e-06,3.06e-06,3.09e-06,1524545.0
1539885600,3.09e-06,3.11e-06,3e-06,3.03e-06,3707332.0
1539889200,3.03e-06,3.07e-06,3.01e-06,3.04e-06,2721272.0
1539892800,3.04e-06,3.05e-06,2.98e-06,3.04e-06,2793068.0
1539896400,3.03e-06,3.06e-06,3.01e-06,3.04e-06,1750115.0
1539900000,3.05e-06,3.1e-06,3.01e-06,3.05e-06,2099579.0
1539903600,3.05e-06,3.1e-06,3.02e-06,3.07e-06,806254.0
1539907200,3.07e-06,3.1e-06,3.05e-06,3.08e-06,694678.0
1539910800,3.08e-06,3.12e-06,3.07e-06,3.11e-06,6987463.0
1539914400,3.12e-06,3.14e-06,3.1e-06,3.12e-06,5015121.0
1539918000,3.12e-06,3.14e-06,3.09e-06,3.1e-06,2021702.0
1539921600,3.1e-06,3.12e-06,3.06e-06,3.08e-06,1147592.0
1539925200,3.08e-06,3.11e-06,3.07e-06,3.1e-06,2269997.0
1539928800,3.1e-06,3.11e-06,3.05e-06,3.07e-06,2434896.0
1539932400,3.1e-06,3.11e-06,3.05e-06,3.07e-06,2434896.0
1539936000,3.1e-06,3.11e-06,3.05e-06,3.07e-06,2434896.0
1539939600,3.1e-06,3.11e-06,3.05e-06,3.07e-06,2434896.0
1539943200,3.06e-06,3.09e-06,3.06e-06,3.07e-06,1942041.0
1539946800,3.07e-06,3.08e-06,3.05e-06,3.06e-06,2095519.0
1539950400,3.07e-06,3.11e-06,3.05e-06,3.06e-06,1747424.0
1539954000,3.07e-06,3.07e-06,3.03e-06,3.03e-06,1022682.0
1539957600,3.03e-06,3.05e-06,3e-06,3.04e-06,972858.0
1539961200,3.05e-06,3.1e-06,3.04e-06,3.08e-06,3500492.0
1539964800,3.08e-06,3.13e-06,3.05e-06,3.12e-06,8991198.0
1539968400,3.11e-06,3.17e-06,3.11e-06,3.12e-06,5316434.0
1539972000,3.13e-06,3.13e-06,3.08e-06,3.11e-06,2657154.0
1539975600,3.11e-06,3.15e-06,3.1e-06,3.13e-06,2620243.0
1539979200,3.13e-06,3.14e-06,3.1e-06,3.11e-06,1359251.0
1539982800,3.1e-06,3.13e-06,3.1e-06,3.12e-06,1092455.0
1539986400,3.13e-06,3.14e-06,3.12e-06,3.14e-06,686678.0
1539990000,3.13e-06,3.14e-06,3.11e-06,3.13e-06,715868.0
1539993600,3.12e-06,3.13e-06,3.1e-06,3.11e-06,940075.0
1539997200,3.12e-06,3.13e-06,3.1e-06,3.11e-06,4875914.0
1540000800,3.11e-06,3.14e-06,3.1e-06,3.13e-06,4274517.0
1540004400,3.14e-06,3.14e-06,3.09e-06,3.13e-06,4136606.0
1540008000,3.13e-06,3.14e-06,3.09e-06,3.1e-06,1406332.0
1540011600,3.1e-06,3.12e-06,3.1e-06,3.11e-06,3249877.0
1540015200,3.11e-06,3.13e-06,3.11e-06,3.12e-06,3731194.0
1540018800,3.12e-06,3.14e-06,3.11e-06,3.13e-06,2869479.0
1540022400,3.13e-06,3.14e-06,3.12e-06,3.13e-06,861301.0
1540026000,3.14e-06,3.14e-06,3.12e-06,3.12e-06,684499.0
1540029600,3.12e-06,3.14e-06,3.12e-06,3.13e-06,2847073.0
1540033200,3.13e-06,3.21e-06,3.12e-06,3.19e-06,4415108.0
1540036800,3.19e-06,3.26e-06,3.17e-06,3.2e-06,6672298.0
1540040400,3.2e-06,3.25e-06,3.19e-06,3.21e-06,3593495.0
1540044000,3.22e-06,3.25e-06,3.2e-06,3.23e-06,3135455.0
1540047600,3.22e-06,3.23e-06,3.18e-06,3.2e-06,1774667.0
1540051200,3.2e-06,3.24e-06,3.17e-06,3.21e-06,2491654.0
1540054800,3.22e-06,3.24e-06,3.21e-06,3.22e-06,1032445.0
1540058400,3.22e-06,3.24e-06,3.21e-06,3.22e-06,1524262.0
1540062000,3.22e-06,3.24e-06,3.21e-06,3.22e-06,4098372.0
1540065600,3.22e-06,3.23e-06,3.2e-06,3.21e-06,3018220.0
1540069200,3.21e-06,3.24e-06,3.2e-06,3.23e-06,2179629.0
1540072800,3.23e-06,3.24e-06,3.2e-06,3.21e-06,2311949.0
1540076400,3.21e-06,3.23e-06,3.19e-06,3.21e-06,1358838.0
1540080000,3.22e-06,3.23e-06,3.21e-06,3.23e-06,1230066.0
1540083600,3.23e-06,3.24e-06,3.21e-06,3.22e-06,2510011.0
1540087200,3.22e-06,3.24e-06,3.16e-06,3.19e-06,3501532.0
1540090800,3.19e-06,3.22e-06,3.18e-06,3.21e-06,1563891.0
1540094400,3.21e-06,3.22e-06,3.2e-06,3.2e-06,797956.0
1540098000,3.2e-06,3.22e-06,3.2e-06,3.21e-06,505242.0
1540101600,3.2e-06,3.22e-06,3.19e-06,3.21e-06,5348900.0
1540105200,3.21e-06,3.21e-06,3.18e-06,3.2e-06,4615691.0
1540108800,3.19e-06,3.2e-06,3.19e-06,3.19e-06,2326347.0
1540112400,3.2e-06,3.22e-06,3.19e-06,3.2e-06,2984826.0
1540116000,3.2e-06,3.22e-06,3.19e-06,3.21e-06,2387292.0
1540119600,3.22e-06,3.26e-06,3.2e-06,3.26e-06,3728469.0
