date,close_BTC,volume_BTC,close_ETH,volume_ETH,close_BNB,volume_BNB,close_XRP,volume_XRP,close,volume,ma_5,ma_6,ma_10,ma_20,rsi_6,rsi_12,stochastic_5,9_kstochastic,9_dstochastic,macd_hist,williams_12,%b_bands,midlle_bands
1550438700.0,3632.91,0.315126,130.84,35.76325,9.0906,0.0,0.30074,10984.8,3632.91,0.315126,3631.816000000001,3630.655,3629.2740000000003,3626.9545,59.67574906519032,59.67574906519032,-4.026593106178694,71.14314735633009,73.973848215274,0.6873828424806259,-25.597749648384404,0.8325470692189926,3627.6706666666682
1550438760.0,3633.02,0.128243,130.76,9.0476,9.0888,0.0,0.30093000000000003,666.0,3633.02,0.128243,3632.566000000001,3632.016666666667,3630.0810000000006,3627.4955,59.823392120951965,59.823392120951965,-11.212893686339484,65.15533165407112,70.04850476623278,0.6452637847717901,-26.76269901440626,0.8066609055135386,3627.930666666668
1550438820.0,3635.14,2.392614,130.87,44.09158,9.0908,2.01,0.30095,2631.6,3635.14,2.392614,3633.470000000001,3632.9950000000003,3631.1150000000002,3628.0620000000004,62.6609081688747,62.6609081688747,-0.04335181270035804,75.52511605637251,70.60786502225791,0.6827705809783464,-13.223140495867115,0.8733642903687343,3628.746666666668
1550438880.0,3636.8,0.5454319999999999,130.95,16.34785,9.0801,14.47,0.30108,0.0,3636.8,0.5454319999999999,3633.8280000000013,3634.025,3632.136,3628.702,64.75966443466201,64.75966443466201,12.546550197514065,85.57613341217717,75.41886037420694,0.7474570481674649,-0.4095004094981737,0.9033419418994559,3629.6733333333345
1550438940.0,3636.0,9.559375,130.91,425.6171,9.0811,1367.06,0.30096999999999996,37542.7,3636.0,9.559375,3634.7740000000013,3634.19,3632.489,3629.1865000000007,62.92404983326213,62.92404983326213,13.035492320984673,91.93611762781852,84.34578903212275,0.7069391572766133,-6.961506961506196,0.8136061036137515,3630.470666666668
1550439000.0,3634.93,1.575418,130.91,198.291,9.0866,23.04,0.30108,5522.9,3634.93,1.575418,3635.1780000000012,3634.7999999999997,3633.4970000000003,3629.5474999999997,60.45577682518647,60.45577682518647,-1.8841056559904956,86.94588692673415,88.15271265557664,0.5850564527902335,-15.724815724816274,0.7250169301706748,3631.242000000001
1550439060.0,3638.45,2.456989,131.23,30.599829999999997,9.0961,146.4,0.30123,17939.5,3638.45,2.456989,3636.2640000000015,3635.7233333333334,3634.415,3630.014,65.28070638569515,65.28070638569515,-3.3578725611880174,86.57497098204652,88.48565851219975,0.6362555562007346,-0.9325681492116831,0.8847067462930832,3632.142000000001
1550439120.0,3638.27,0.48403,131.15,83.37313,9.0961,421.16,0.30127,1097.0,3638.27,0.48403,3636.8900000000017,3636.5983333333334,3635.1799999999994,3630.7825000000003,64.8449949937243,64.8449949937243,2.48960835379944,88.88464752550776,87.4685018114295,0.6185485018852299,-3.169734151328768,0.8386455759955351,3633.040000000001
1550439180.0,3639.81,0.005372,131.33,21.66165,9.1027,0.4,0.30130999999999997,1835.0,3639.81,0.005372,3637.492000000002,3637.376666666667,3635.659999999999,3631.6280000000006,66.88164200983009,66.88164200983009,12.495228848725858,98.2825917252145,91.24740341092296,0.6387040095059895,-0.0,0.8877836158875703,3633.9213333333337
1550439240.0,3638.88,1.8913080000000002,131.4,27.08071,9.1033,0.0,0.30132,16944.7,3638.88,1.8913080000000002,3638.068000000002,3637.723333333334,3636.4209999999994,3632.3700000000013,64.45324171152019,64.45324171152019,2.7357177272946984,94.22447025117401,93.79723650063211,0.5622456061344479,-9.518935516886776,0.7856417902652393,3634.3486666666668
1550439300.0,3642.32,1.607324,132.03,1514.4927300000006,9.1159,607.82,0.3016,20467.5,3642.32,1.607324,3639.546000000002,3638.776666666667,3637.3619999999996,3633.3180000000016,68.9448977502403,68.9448977502403,0.02401854649536972,95.43446244477256,95.98050814038704,0.6363334192474506,-0.0,0.9795185014214085,3635.513333333334
1550439360.0,3642.79,2.733708,131.89,208.54324,9.1143,131.81,0.30172,21112.7,3642.79,2.733708,3640.414000000002,3640.0866666666675,3638.339,3634.2100000000014,69.51174130126859,69.51174130126859,-2.9008041048956983,92.46249351535641,94.04047540376769,0.6611020443375546,-7.739665787160225,0.9470250844243097,3636.414666666667
1550439420.0,3646.07,1.902639,132.05,136.27261,9.1351,906.87,0.30175,4582.2,3646.07,1.902639,3641.974000000002,3641.356666666667,3639.432,3635.2735000000016,73.1895938139846,73.1895938139846,1.566370887117614,96.97378642724249,94.95691412912385,0.7874173453205922,-0.1530221882171504,1.045464672315954,3637.444666666667
1550439480.0,3641.96,11.662462,131.6,359.45616,9.1279,125.06,0.30124,9406.5,3641.96,11.662462,3642.4040000000014,3641.971666666667,3639.9479999999994,3636.042000000002,62.94335978773364,62.94335978773364,-11.040698850660078,85.7722675772286,91.73618250660918,0.6159797069343775,-33.60455655004167,0.750316662871284,3637.9080000000004
1550439540.0,3638.43,1.1787020000000001,131.4,311.62056,9.1348,229.37,0.30111,3951.2,3638.43,1.1787020000000001,3642.314000000001,3641.741666666667,3640.191,3636.3400000000015,55.72729440912323,55.72729440912323,-24.965440089495935,61.377319750659154,81.37445791837676,0.2839604948810308,-62.32709519935177,0.5030700404450335,3638.3853333333336
1550439600.0,3635.99,3.255089,131.44,28.3488,9.14,304.36,0.30113,5392.5,3635.99,3.255089,3641.048000000001,3641.26,3640.2969999999996,3636.8970000000018,51.34549318447144,51.34549318447144,-30.039922073818868,30.229834397088624,59.12647390832549,-0.08673866924348062,-82.1806346623303,0.30887120344200364,3638.5906666666674
1550439660.0,3635.2,0.8556590000000001,131.45,34.70518,9.1373,330.2,0.30121,10033.8,3635.2,0.8556590000000001,3639.530000000001,3640.0733333333337,3639.9719999999993,3637.193500000001,49.975360587596086,49.975360587596086,-19.781417801956664,8.22000832487001,33.275720824205955,-0.38694395275926485,-88.60862489829422,0.22386050565561802,3638.7360000000003
1550439720.0,3638.97,0.759601,131.69,17.49679,9.1395,2372.25,0.3015,3729.6,3638.97,0.759601,3638.1100000000015,3639.436666666667,3640.042,3637.6110000000017,56.00831212528218,56.00831212528218,6.658821980665291,13.872987904886848,17.44094354228185,-0.4068864951571731,-65.14181152790627,0.4982534368824459,3638.991333333334
1550439780.0,3640.06,1.3953879999999999,131.77,45.27071,9.1427,595.54,0.30158,4529.1,3640.06,1.3953879999999999,3637.730000000002,3638.435000000001,3640.067,3637.8635000000017,57.60043683663025,57.60043683663025,22.500602603486318,26.684964928331155,16.259320386029362,-0.37147091374414964,-55.169258920402925,0.5708133843388848,3639.208666666667
1550439840.0,3642.98,1.856923,132.09,153.45882,9.15,108.59,0.30146,1846.1,3642.98,1.856923,3638.6400000000017,3638.605000000001,3640.4770000000003,3638.4490000000014,61.60890128395514,61.60890128395514,30.550034605602995,50.41171088746501,30.323221240227696,-0.2121708867287584,-28.453796889295926,0.7743042420907703,3639.6740000000004
