date,open,high,low,close,volume
1542354780.0,5648.53,5648.81,5644.88,5646.85,25.395402
1542354840.0,5647.61,5649.61,5639.09,5639.4,22.672894
1542354900.0,5640.0,5643.59,5634.0,5642.0,29.32787
1542354960.0,5642.0,5643.57,5636.06,5641.57,25.683035
1542355020.0,5640.0,5641.52,5634.26,5636.87,26.614486
1542355080.0,5639.65,5642.0,5636.8,5640.33,19.606764
1542355140.0,5640.77,5641.8,5638.2,5641.8,15.407757
1542355200.0,5641.8,5641.8,5630.0,5635.19,51.26672
1542355260.0,5634.98,5638.98,5631.51,5635.0,18.569535
1542355320.0,5635.0,5641.41,5632.27,5636.72,23.925195
1542355380.0,5638.24,5656.86,5634.77,5651.21,71.734289
1542355440.0,5651.21,5659.68,5649.65,5659.36,32.916182
1542355500.0,5659.36,5663.77,5655.48,5661.78,48.862612
1542355560.0,5660.0,5661.57,5653.91,5654.85,26.371285
1542355620.0,5659.39,5659.41,5656.29,5657.33,17.006921
1542355680.0,5659.21,5663.44,5657.33,5661.4,19.329289
1542355740.0,5661.4,5663.44,5658.93,5661.62,24.931141
1542355800.0,5660.22,5661.63,5658.5,5661.38,16.808465
1542355860.0,5661.18,5661.39,5658.5,5659.24,22.911749
1542355920.0,5659.44,5661.18,5658.0,5659.12,18.621157
1542355980.0,5658.66,5659.54,5653.91,5656.82,14.614382
1542356040.0,5656.83,5658.76,5653.72,5656.31,28.068444
1542356100.0,5656.31,5656.31,5650.0,5651.17,28.176422
1542356160.0,5651.17,5656.13,5646.81,5654.63,42.142097
1542356220.0,5654.63,5659.53,5631.48,5650.0,65.040972
1542356280.0,5650.0,5650.0,5644.43,5648.54,51.064231
1542356340.0,5648.54,5648.54,5640.64,5642.79,24.048333
1542356400.0,5644.6,5648.31,5642.9,5645.87,30.068966
1542356460.0,5643.71,5648.78,5642.9,5647.03,27.735186
1542356520.0,5647.03,5647.03,5632.87,5636.52,127.713776
1542356580.0,5635.08,5636.94,5633.0,5633.9,19.975565
1542356640.0,5633.91,5636.53,5631.38,5631.39,28.247657
1542356700.0,5631.39,5633.49,5613.35,5625.61,61.699813
1542356760.0,5625.61,5628.06,5620.03,5620.71,21.824406
1542356820.0,5624.1,5624.11,5618.97,5620.48,29.045398
1542356880.0,5622.0,5622.0,5610.08,5618.0,43.242733
1542356940.0,5618.0,5621.47,5614.21,5620.2,39.494904
1542357000.0,5621.13,5634.75,5619.79,5631.1,31.981654
1542357060.0,5631.1,5640.0,5629.87,5636.94,57.02389
1542357120.0,5638.58,5639.0,5633.96,5635.0,76.827536
1542357180.0,5635.0,5635.0,5632.79,5633.0,24.331494
1542357240.0,5633.0,5635.0,5633.0,5635.0,57.071107
1542357300.0,5635.0,5638.9,5631.49,5638.66,21.559019
1542357360.0,5637.77,5638.9,5630.44,5635.0,32.286794
1542357420.0,5635.0,5635.0,5630.94,5631.22,15.084193
1542357480.0,5632.69,5633.81,5629.8,5633.0,31.596664
1542357540.0,5633.0,5633.0,5616.72,5628.95,53.991393
1542357600.0,5628.95,5629.95,5626.41,5629.87,20.695643
1542357660.0,5629.87,5629.94,5627.0,5629.9,23.571864
1542357720.0,5628.68,5629.0,5621.92,5628.45,25.175812
1542357780.0,5628.45,5628.98,5621.0,5621.0,22.512602
1542357840.0,5625.13,5625.13,5615.0,5619.27,52.859781
1542357900.0,5619.27,5620.0,5615.12,5616.97,37.317018
1542357960.0,5616.97,5617.17,5610.0,5614.53,43.20855
1542358020.0,5614.33,5614.53,5602.0,5609.09,53.335725
1542358080.0,5609.09,5623.21,5605.62,5618.01,31.390721
1542358140.0,5617.99,5619.0,5614.46,5618.77,58.148609
1542358200.0,5618.97,5629.95,5616.35,5629.06,53.022762
1542358260.0,5628.73,5628.73,5619.82,5622.1,21.822507
1542358320.0,5622.3,5625.84,5619.82,5620.93,12.680456
1542358380.0,5620.93,5635.0,5620.93,5628.44,30.748338
1542358440.0,5629.09,5634.74,5628.45,5632.18,15.104503
1542358500.0,5631.98,5634.71,5630.7,5630.91,20.432557
