,actual,predicted
2018-10-16 05:00:00,6824.71,6468.765864461661
2018-10-16 06:00:00,6759.67,6351.975471496583
2018-10-16 07:00:00,6755.0,6556.515286266805
2018-10-16 08:00:00,6769.21,6654.433668538929
2018-10-16 09:00:00,6797.9,6460.939727157355
2018-10-16 10:00:00,6759.04,6616.586553990842
2018-10-16 11:00:00,6755.46,6388.045408979059
2018-10-16 12:00:00,6719.0,6558.584105193616
2018-10-16 13:00:00,6719.76,6611.870849177242
2018-10-16 14:00:00,6699.99,6603.614701598884
2018-10-16 15:00:00,6711.01,6589.091980263592
2018-10-16 16:00:00,6730.66,6751.465698033572
2018-10-16 17:00:00,6729.01,6680.404947638513
2018-10-16 18:00:00,6723.03,6590.988646030427
2018-10-16 19:00:00,6738.0,6544.368179172278
2018-10-16 20:00:00,6727.5,6520.787667766214
2018-10-16 21:00:00,6759.27,6429.271495074035
2018-10-16 22:00:00,6751.05,6747.92575210333
2018-10-16 23:00:00,6752.84,6368.263942703606
2018-10-17 00:00:00,6765.0,6390.269737109543
2018-10-17 01:00:00,6774.0,6395.709578230978
2018-10-17 02:00:00,6776.71,6716.939673811198
2018-10-17 03:00:00,6760.09,6617.462224826218
2018-10-17 04:00:00,6764.02,6759.54174309969
2018-10-17 05:00:00,6750.01,6727.194586649538
2018-10-17 06:00:00,6766.21,6516.191203236581
2018-10-17 07:00:00,6733.38,6737.287034600974
2018-10-17 08:00:00,6703.19,6380.7076600044975
2018-10-17 09:00:00,6726.13,6717.596985876561
2018-10-17 10:00:00,6727.27,6747.664417147637
2018-10-17 11:00:00,6715.02,6577.283217474819
2018-10-17 12:00:00,6746.0,6578.097280830146
2018-10-17 13:00:00,6748.02,6395.810932472349
2018-10-17 14:00:00,6751.02,6747.193169608713
2018-10-17 15:00:00,6747.85,6380.707163169981
2018-10-17 16:00:00,6742.51,6757.832880780102
2018-10-17 17:00:00,6716.96,6462.392222866417
2018-10-17 18:00:00,6729.41,6610.325942248107
2018-10-17 19:00:00,6734.67,6630.969416409732
2018-10-17 20:00:00,6738.0,6429.60959096253
2018-10-17 21:00:00,6740.89,6599.450483098627
2018-10-17 22:00:00,6740.9,6727.792278572918
2018-10-17 23:00:00,6734.28,6584.578487098218
2018-10-18 00:00:00,6743.95,6707.4397010207185
2018-10-18 01:00:00,6761.26,6562.005307674409
2018-10-18 02:00:00,6751.31,6584.791629105807
2018-10-18 03:00:00,6733.01,6609.795819818974
