date,close_BTC,volume_BTC,close_ETH,volume_ETH,close_BNB,volume_BNB,close_XRP,volume_XRP,close,volume,ma_5,ma_6,ma_10,ma_20,rsi_6,rsi_12,stochastic_5,9_kstochastic,9_dstochastic,macd_hist,williams_12,%b_bands,midlle_bands,target
1548899760.0,3470.34,12.161608,109.65,116.64734,6.145,553.91,0.33065,255006.7,3470.34,12.161608,3471.12999999994,3471.774999999951,3473.5340000000188,3475.6539999999736,33.82215182077338,33.82215182077338,3.0272400845627327,14.157212436909544,11.754822833195142,-0.775372803052438,-82.4365482233499,0.11198248179757317,3474.83533333329,1
1548899820.0,3474.6,17.904826,109.85,172.66806,6.1451,146.57,0.33174000000000003,641575.0,3474.6,17.904826,3471.401999999939,3471.7083333332844,3473.34200000002,3475.5279999999743,50.03980291019871,50.03980291019871,18.116628000804127,32.0294589384765,18.761596624113114,-0.5328017729625033,-36.680761099368304,0.5003630969975292,3474.595999999956,0
1548899880.0,3473.75,18.638809,109.75,139.35661000000002,6.1446,1580.29,0.332,242844.7,3473.75,18.638809,3471.7179999999394,3471.7933333332844,3473.1410000000187,3475.384499999975,47.536592432598646,47.536592432598646,24.417517717724728,51.33890509553007,32.50852549030561,-0.39065273924784616,-38.73659117997675,0.45022776793575,3474.246666666623,1
1548899940.0,3472.65,10.335174,109.77,91.84055,6.1497,483.07,0.33137,258208.4,3472.65,10.335174,3472.113999999941,3471.8733333332843,3472.71500000002,3475.1359999999745,44.43846505271003,44.43846505271003,15.6625670059625,61.819595165938104,48.39598639998179,-0.3318063300205195,-51.84743742550626,0.3643171335214223,3473.9593333332896,1
1548900000.0,3472.89,7.282118,109.8,170.80762,6.1497,1658.95,0.33139,85925.0,3472.89,7.282118,3472.845999999941,3472.243333333285,3472.45400000002,3474.8224999999743,45.27647377152286,45.27647377152286,-2.7007408478527712,59.57227873038824,57.57692633061905,-0.26465103217469155,-48.98688915375672,0.4110392002048088,3473.716666666623,1
1548900060.0,3474.01,6.6242220000000005,109.84,231.34132,6.1494,1089.0,0.33136,84696.1,3474.01,6.6242220000000005,3473.5799999999394,3473.0399999999518,3472.35500000002,3474.5214999999744,49.13222089343,49.13222089343,-3.7854623553645013,66.09514020826181,62.495671368196284,-0.15191759816988906,-34.861278648973276,0.5522906442702196,3473.5493333332897,0
1548900120.0,3473.78,9.604516,109.8,362.70099,6.1494,1789.37,0.33085,186385.5,3473.78,9.604516,3473.41599999994,3473.613333333285,3472.40900000002,3474.3009999999736,48.37837898453666,48.37837898453666,0.2263491972744163,74.77341389728123,66.81361094531066,-0.07923383371787708,-33.37628865979085,0.5502271341930144,3473.366666666624,0
1548900180.0,3473.7,17.491523,109.76,137.87936000000002,6.1453,840.19,0.33028,113386.0,3473.7,17.491523,3473.4059999999395,3473.463333333285,3472.562000000021,3474.036499999974,48.10192479779155,48.10192479779155,-0.21962084003308746,78.85196374622362,73.2401726172558,-0.0284969269473192,-23.1117824773448,0.5600524103186838,3473.22933333329,1
1548900240.0,3472.64,10.469455,109.76,188.86826,6.1487,1512.3,0.33011,111606.3,3472.64,10.469455,3473.4039999999395,3473.278333333285,3472.75900000002,3473.820499999973,44.475387399616224,44.475387399616224,-8.94618387293174,71.95367573010897,75.19301779120484,-0.04167365779173315,-39.12386706948924,0.4551044226934689,3472.944666666623,1
1548900300.0,3472.73,11.042389,109.6,788.20876,6.1418,1407.45,0.3301,97298.3,3472.73,11.042389,3473.3719999999394,3473.291666666619,3473.10900000002,3473.630499999973,44.855535614776656,44.855535614776656,-7.13410423158129,62.28261783605091,71.02941910412807,-0.04042793677506307,-37.76435045317281,0.4951706956536007,3472.7599999999575,0
