date,close,ma_5,ma_6,ma_10,ma_20,rsi_6,rsi_12,stochastic_5,9_kstochastic,9_dstochastic,macd_hist,williams_12,%b_bands,midlle_bands
1508886000.0,7.623e-05,7.586399999999998e-05,7.597000000000005e-05,7.488899999999997e-05,7.404750000000003e-05,52.31050235708595,52.31050235708595,2.749441191962802,78.55033494497565,76.02780822431662,-8.333845790419514e-08,-15.46894031668704,inf,7.452666666666669e-05
1508889600.0,7.28e-05,7.494799999999997e-05,7.535333333333337e-05,7.441899999999997e-05,7.387100000000003e-05,46.25284251729455,46.25284251729455,-3.953390263560024,70.70856242598019,73.89696362493767,-2.371500682105319e-07,-57.24725943970772,-inf,7.458000000000003e-05
1508893200.0,7.28e-05,7.455999999999996e-05,7.459000000000004e-05,7.399999999999998e-05,7.391100000000003e-05,46.25284251729454,46.25284251729454,-22.040247230766767,56.958176316992585,68.73902456264949,-3.379905733821548e-07,-57.24725943970772,-inf,7.457200000000003e-05
1508896800.0,7.28e-05,7.417199999999997e-05,7.42666666666667e-05,7.435099999999998e-05,7.390150000000003e-05,46.252842517294546,46.252842517294546,-28.51256695508856,43.092240943022595,56.91965989533181,-3.9928828396486697e-07,-57.14285714285717,-inf,7.444800000000003e-05
1508900400.0,7.28e-05,7.348599999999997e-05,7.394333333333337e-05,7.470199999999999e-05,7.405400000000003e-05,46.252842517294546,46.252842517294546,-18.374003005058096,43.18641952916656,47.74561226306059,-4.3142784580967235e-07,-57.14285714285717,-inf,7.44066666666667e-05
1508904000.0,7.28e-05,7.279999999999995e-05,7.337166666666671e-05,7.4332e-05,7.409500000000004e-05,46.252842517294546,46.252842517294546,-4.434907010014278,42.06450677375938,42.78105574864952,-4.4240396471529515e-07,-56.72009864364984,-inf,7.41926666666667e-05
1508907600.0,7.2e-05,7.263999999999997e-05,7.266666666666671e-05,7.3794e-05,7.409500000000004e-05,44.51141008645086,44.51141008645086,1.4802973661668752e-14,27.684613901901134,37.6451800682757,-4.770484240257229e-07,-66.7490729295426,-inf,7.382600000000002e-05
1508911200.0,7.599e-05,7.327799999999997e-05,7.319833333333337e-05,7.391900000000001e-05,7.424850000000005e-05,53.84510425576789,53.84510425576789,22.222222222222236,44.7468014082935,38.165307361318014,-2.931674310919665e-07,-17.428924598269493,inf,7.375933333333336e-05
1508914800.0,7.25e-05,7.321799999999998e-05,7.314833333333339e-05,7.3695e-05,7.414050000000004e-05,46.480376023942036,46.480376023942036,13.895850737956014,35.38219070133967,35.93786867051144,-3.3550957569128996e-07,-64.3776824034335,-inf,7.397333333333335e-05
1508918400.0,7.2e-05,7.305799999999998e-05,7.301500000000005e-05,7.327200000000001e-05,7.406950000000005e-05,45.51978187647658,45.51978187647658,1.3923698134224622,35.38219070133967,38.50372760365762,-3.7896303872747907e-07,-100.0,-inf,7.415400000000002e-05
