date,open,high,low,close,volume
1549541640.0,8.0757,8.08,8.0691,8.0773,2500.92
1549541700.0,8.0756,8.0783,8.06,8.0606,5065.92
1549541760.0,8.0655,8.0655,8.0432,8.0549,4212.39
1549541820.0,8.0549,8.0623,8.0414,8.0488,2092.32
1549541880.0,8.0426,8.0769,8.041,8.0769,3981.57
1549541940.0,8.0772,8.0857,8.0772,8.0855,2039.61
1549542000.0,8.0855,8.0857,8.0791,8.0798,2099.89
1549542060.0,8.08,8.0818,8.0421,8.0421,5370.5
1549542120.0,8.0414,8.0612,8.037,8.0549,5331.63
1549542180.0,8.047,8.0807,8.0469,8.0689,4345.78
1549542240.0,8.0734,8.081,8.0718,8.0801,2969.72
1549542300.0,8.08,8.0819,8.0775,8.0812,3383.61
1549542360.0,8.0822,8.0829,8.0742,8.0744,4354.59
1549542420.0,8.0821,8.0822,8.0809,8.0821,4027.85
1549542480.0,8.0822,8.09,8.08,8.09,4095.95
1549542540.0,8.0867,8.11,8.0867,8.1077,6970.16
1549542600.0,8.1085,8.1186,8.0935,8.114,7382.25
1549542660.0,8.115,8.1273,8.115,8.1235,3411.29
1549542720.0,8.1235,8.1273,8.1161,8.1176,2635.18
1549542780.0,8.1161,8.1198,8.1134,8.1149,6353.72
1549542840.0,8.1149,8.115,8.1077,8.1081,2058.12
1549542900.0,8.1082,8.1082,8.1025,8.1069,583.04
1549542960.0,8.1021,8.1172,8.102,8.1172,2148.13
1549543020.0,8.1131,8.1235,8.1131,8.1211,3577.46
1549543080.0,8.125,8.125,8.1167,8.1209,2784.81
1549543140.0,8.1214,8.1421,8.1214,8.1329,4323.16
1549543200.0,8.1329,8.1352,8.1249,8.1267,3531.06
1549543260.0,8.1288,8.1329,8.121,8.121,2791.57
1549543320.0,8.122,8.1257,8.1142,8.115,810.38
1549543380.0,8.1194,8.1194,8.1052,8.1155,2852.71
1549543440.0,8.1077,8.1155,8.1014,8.1014,3740.85
1549543500.0,8.1099,8.1156,8.1066,8.1156,2326.77
1549543560.0,8.1172,8.1193,8.1125,8.1154,2321.31
1549543620.0,8.1198,8.12,8.113,8.1188,2773.1
1549543680.0,8.1186,8.1186,8.11,8.11,2662.2
1549543740.0,8.1075,8.11,8.102,8.1099,3443.23
1549543800.0,8.1152,8.1153,8.108,8.1085,3718.34
1549543860.0,8.1098,8.1098,8.1,8.1072,2826.75
1549543920.0,8.1072,8.1072,8.0862,8.0862,2288.32
1549543980.0,8.0857,8.0919,8.0577,8.0577,2301.55
1549544040.0,8.071,8.071,8.0561,8.06,4329.76
1549544100.0,8.06,8.0618,8.0424,8.0546,5024.33
1549544160.0,8.0546,8.0976,8.0502,8.0932,7438.32
1549544220.0,8.0941,8.0941,8.0801,8.0896,1939.66
1549544280.0,8.0901,8.093,8.0813,8.093,4464.54
1549544340.0,8.0869,8.093,8.0859,8.0859,1280.28
1549544400.0,8.0864,8.1083,8.0811,8.1083,5045.99
1549544460.0,8.1018,8.1121,8.1015,8.1083,3294.21
1549544520.0,8.1083,8.1129,8.1002,8.11,3309.39
1549544580.0,8.1101,8.1142,8.1043,8.1142,2490.36
1549544640.0,8.1141,8.1141,8.0868,8.0998,3533.98
1549544700.0,8.0954,8.0976,8.0945,8.0945,2093.57
1549544760.0,8.0927,8.1069,8.0867,8.1069,1269.1
1549544820.0,8.1027,8.1055,8.1026,8.1055,1690.0
1549544880.0,8.1036,8.1081,8.0983,8.1007,2450.26
1549544940.0,8.1078,8.1091,8.087,8.0918,2904.39
1549545000.0,8.0869,8.1041,8.0869,8.1041,2491.94
1549545060.0,8.0998,8.1078,8.0997,8.1019,1797.3
1549545120.0,8.1028,8.1055,8.0767,8.0767,3712.49
1549545180.0,8.0817,8.0821,8.0715,8.0793,3019.87
1549545240.0,8.0796,8.0908,8.0793,8.0884,5451.8
1549545300.0,8.0876,8.1086,8.0876,8.1086,2489.91
1549545360.0,8.11,8.1428,8.11,8.1398,4833.54
1549545420.0,8.14,8.1483,8.1329,8.1483,4818.48
1549545480.0,8.1497,8.1666,8.147,8.1666,18980.1
1549545540.0,8.1668,8.1921,8.1659,8.1806,6951.29
1549545600.0,8.1867,8.199,8.1818,8.1969,3827.35
1549545660.0,8.1882,8.199,8.1855,8.187,5802.71
1549545720.0,8.187,8.19,8.1808,8.1899,2626.76
1549545780.0,8.1863,8.1899,8.1845,8.1869,736.88
