date,open,high,low,close,volume
1549292760.0,0.30098,0.30098,0.30085,0.30096,7767.9
1549292820.0,0.30086,0.30099,0.3008,0.30096,21076.3
1549292880.0,0.30096,0.30097,0.30084,0.30084,11284.4
1549292940.0,0.30084,0.30098,0.30083,0.30085,10751.2
1549293000.0,0.30089,0.30098,0.30083,0.30098,20951.5
1549293060.0,0.30098,0.30098,0.3008,0.30082,8535.7
1549293120.0,0.30085,0.30085,0.30068,0.30074,29365.6
1549293180.0,0.30084,0.30093,0.3005,0.30074,61329.1
1549293240.0,0.30064,0.30069,0.30048,0.30054,40872.7
1549293300.0,0.30065,0.30068,0.3004,0.30059,63886.2
1549293360.0,0.30062,0.30062,0.30027,0.30051,25252.5
1549293420.0,0.30046,0.30059,0.3004,0.30041,6002.5
1549293480.0,0.3004,0.3005,0.30031,0.30031,3766.0
1549293540.0,0.30033,0.3005,0.30026,0.3005,18026.1
1549293600.0,0.3005,0.30061,0.30037,0.30047,18533.7
1549293660.0,0.30046,0.3006,0.30046,0.3005,9105.0
1549293720.0,0.3005,0.30061,0.3005,0.30061,5619.2
1549293780.0,0.30061,0.30061,0.30055,0.30061,8154.2
1549293840.0,0.30061,0.30061,0.30055,0.30061,2015.1
1549293900.0,0.30056,0.30061,0.3005,0.3005,13712.6
1549293960.0,0.30052,0.30061,0.30052,0.30061,16674.2
1549294020.0,0.30061,0.30078,0.30056,0.30069,23616.6
1549294080.0,0.30075,0.3009,0.3006,0.30084,17379.0
1549294140.0,0.30084,0.30088,0.30057,0.30072,6755.2
1549294200.0,0.30072,0.30079,0.30056,0.30071,10826.2
1549294260.0,0.30071,0.30079,0.3006,0.30079,6056.9
1549294320.0,0.30074,0.30078,0.30064,0.30072,13025.1
1549294380.0,0.30067,0.30072,0.30057,0.30057,2460.9
1549294440.0,0.30071,0.30072,0.30061,0.3007,3026.6
1549294500.0,0.3007,0.3007,0.30058,0.30058,7706.3
1549294560.0,0.30058,0.30066,0.30056,0.30056,5050.1
1549294620.0,0.30057,0.30057,0.3004,0.30041,15948.4
1549294680.0,0.3004,0.30063,0.30028,0.30045,52080.2
1549294740.0,0.30045,0.30056,0.30027,0.30039,7170.1
1549294800.0,0.30031,0.30049,0.3,0.30024,88387.2
1549294860.0,0.30038,0.30039,0.30018,0.30025,16406.8
1549294920.0,0.30024,0.3004,0.30021,0.30039,11601.8
1549294980.0,0.3004,0.30047,0.30034,0.30045,13172.0
1549295040.0,0.30045,0.30048,0.30033,0.30047,13555.1
1549295100.0,0.30033,0.30065,0.30029,0.30063,36546.5
1549295160.0,0.30061,0.30066,0.30042,0.30064,3193.0
1549295220.0,0.30064,0.30069,0.30057,0.30069,9105.5
1549295280.0,0.30069,0.30084,0.30068,0.30074,10721.1
1549295340.0,0.30084,0.301,0.30079,0.30092,52253.9
