,actual,predicted,compare,buy_sell
2018-01-03 21:27:50,0.986850501,1.0021405735461195,0.986895791,1
2018-01-03 21:28:00,0.986850501,1.0022053777485251,0.986864487,1
2018-01-03 21:28:10,0.986891795,1.0021788700340328,0.986940415,1
2018-01-03 21:28:20,0.986257065,1.002035752822943,0.986850501,1
2018-01-03 21:28:30,0.986235752,1.0020672966539437,0.986850501,1
2018-01-03 21:28:40,0.986277046,1.002254114923194,0.986891795,1
2018-01-03 21:28:50,0.0,0.0,0.986257065,0
2018-01-03 21:29:00,0.0,0.0,0.986235752,0
2018-01-03 21:29:10,0.0,0.0,0.986277046,0
2018-01-03 21:29:20,0.0,0.0,0.0,0
2018-01-03 21:29:30,0.0,0.0,0.0,0
2018-01-03 21:29:40,0.0,0.0,0.0,0
2018-01-03 21:29:50,0.0,0.0,0.0,0
2018-01-03 21:30:00,0.0,0.0,0.0,0
2018-01-03 21:30:10,0.0,0.0,0.0,0
2018-01-03 21:30:20,0.0,0.0,0.0,0
2018-01-03 21:30:30,0.0,0.0,0.0,0
2018-01-03 21:30:40,0.0,0.0,0.0,0
2018-01-03 21:30:50,0.0,0.0,0.0,0
2018-01-03 21:31:00,0.0,0.0,0.0,0
2018-01-03 21:31:10,0.0,0.0,0.0,0
2018-01-03 21:31:20,0.0,0.0,0.0,0
2018-01-03 21:31:30,0.0,0.0,0.0,0
2018-01-03 21:31:40,0.0,0.0,0.0,0
2018-01-03 21:31:50,0.0,0.0,0.0,0
2018-01-03 21:32:00,0.0,0.0,0.0,0
2018-01-03 21:32:10,0.0,0.0,0.0,0
2018-01-03 21:32:20,0.0,0.0,0.0,0
2018-01-03 21:32:30,0.0,0.0,0.0,0
2018-01-03 21:32:40,0.0,0.0,0.0,0
2018-01-03 21:32:50,0.0,0.0,0.0,0
2018-01-03 21:33:00,0.0,0.0,0.0,0
2018-01-03 21:33:10,0.0,0.0,0.0,0
2018-01-03 21:33:20,0.0,0.0,0.0,0
2018-01-03 21:33:30,0.0,0.0,0.0,0
2018-01-03 21:33:40,0.0,0.0,0.0,0
2018-01-03 21:33:50,0.0,0.0,0.0,0
2018-01-03 21:34:00,0.0,0.0,0.0,0
2018-01-03 21:34:10,0.0,0.0,0.0,0
2018-01-03 21:34:20,0.0,0.0,0.0,0
2018-01-03 21:34:30,0.0,0.0,0.0,0
2018-01-03 21:34:40,0.0,0.0,0.0,0
2018-01-03 21:34:50,0.0,0.0,0.0,0
2018-01-03 21:35:00,0.0,0.0,0.0,0
2018-01-03 21:35:10,0.0,0.0,0.0,0
2018-01-03 21:35:20,0.0,0.0,0.0,0
2018-01-03 21:35:30,0.0,0.0,0.0,0
2018-01-03 21:35:40,0.0,0.0,0.0,0
2018-01-03 21:35:50,0.0,0.0,0.0,0
2018-01-03 21:36:00,0.0,0.0,0.0,0
2018-01-03 21:36:10,0.0,0.0,0.0,0
2018-01-03 21:36:20,0.0,0.0,0.0,0
2018-01-03 21:36:30,0.0,0.0,0.0,0
2018-01-03 21:36:40,0.0,0.0,0.0,0
2018-01-03 21:36:50,0.0,0.0,0.0,0
2018-01-03 21:37:00,0.0,0.0,0.0,0
2018-01-03 21:37:10,0.0,0.0,0.0,0
2018-01-03 21:37:20,0.0,0.0,0.0,0
